,date,team,opponent,moneyLine,opponentMoneyLine,spread,FG%,FG3%,FT%,REB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,win%,FG%_opp,FG3%_opp,FT%_opp,REB/G_opp,AST/G_opp,STL/G_opp,BLK/G_opp,TOV/G_opp,PF/G_opp,PTS/G_opp,win%_opp,home,outcome
39,2009-11-02,Minnesota,LA Clippers,320.0,-400.0,7.5,0.4166666666666667,0.28125,0.7333333333333333,47.666666666666664,18.666666666666668,10.666666666666666,2.0,12.333333333333334,20.666666666666668,98.0,0.3333333333333333,0.4728434504792332,0.3620689655172414,0.6736842105263158,40.75,23.75,7.5,6.5,15.75,24.0,95.25,0.0,0,0
40,2009-11-02,Sacramento,Memphis,-110.0,100.0,-1.0,0.40562248995983935,0.2807017543859649,0.7037037037037037,42.0,16.666666666666668,7.333333333333333,3.6666666666666665,13.333333333333334,23.0,91.66666666666667,0.0,0.48945147679324896,0.3333333333333333,0.7052631578947368,44.333333333333336,20.333333333333332,7.0,5.333333333333333,17.0,27.0,104.0,0.3333333333333333,1,1
41,2009-11-02,LA Clippers,Minnesota,-400.0,320.0,-7.5,0.4728434504792332,0.3620689655172414,0.6736842105263158,40.75,23.75,7.5,6.5,15.75,24.0,95.25,0.0,0.4166666666666667,0.28125,0.7333333333333333,47.666666666666664,18.666666666666668,10.666666666666666,2.0,12.333333333333334,20.666666666666668,98.0,0.3333333333333333,1,1
42,2009-11-02,Memphis,Sacramento,100.0,-110.0,1.0,0.48945147679324896,0.3333333333333333,0.7052631578947368,44.333333333333336,20.333333333333332,7.0,5.333333333333333,17.0,27.0,104.0,0.3333333333333333,0.40562248995983935,0.2807017543859649,0.7037037037037037,42.0,16.666666666666668,7.333333333333333,3.6666666666666665,13.333333333333334,23.0,91.66666666666667,0.0,0,0
43,2009-11-02,Houston,Utah,310.0,-380.0,8.0,0.44715447154471544,0.4264705882352941,0.76,35.333333333333336,22.333333333333332,10.666666666666666,3.3333333333333335,15.666666666666666,24.0,102.0,0.6666666666666666,0.47953216374269003,0.42105263157894735,0.8148148148148148,43.5,26.0,3.0,4.5,12.5,22.5,108.0,0.5,0,1
44,2009-11-03,Portland,Atlanta,-300.0,250.0,-7.0,0.4219269102990033,0.3670886075949367,0.8151260504201681,43.0,18.5,6.75,7.25,15.5,26.75,95.0,0.5,0.4645669291338583,0.34545454545454546,0.8426966292134831,40.666666666666664,23.0,9.666666666666666,5.333333333333333,13.666666666666666,23.333333333333332,110.0,0.6666666666666666,1,0
45,2009-11-03,Philadelphia,Boston,270.0,-330.0,7.0,0.5258620689655172,0.36363636363636365,0.8113207547169812,42.666666666666664,19.0,9.666666666666666,5.333333333333333,16.0,23.0,115.33333333333333,0.6666666666666666,0.5,0.4367816091954023,0.7951807228915663,40.0,27.0,8.0,5.75,14.25,22.0,100.5,1.0,1,0
46,2009-11-03,Milwaukee,Chicago,350.0,-450.0,8.5,0.4049079754601227,0.35714285714285715,0.6730769230769231,44.5,17.5,8.5,3.0,17.0,28.0,91.0,0.5,0.41338582677165353,0.16279069767441862,0.7222222222222222,42.666666666666664,17.333333333333332,6.333333333333333,5.666666666666667,12.333333333333334,21.333333333333332,89.66666666666667,0.3333333333333333,0,0
47,2009-11-03,Washington,Cleveland,600.0,-800.0,11.5,0.5062240663900415,0.45,0.7536231884057971,40.666666666666664,22.0,5.666666666666667,3.6666666666666665,12.0,24.666666666666668,104.66666666666667,0.6666666666666666,0.44816053511705684,0.4657534246575342,0.6990291262135923,39.0,20.5,7.75,6.25,13.75,22.5,93.5,0.5,0,0
48,2009-11-03,Utah,Dallas,220.0,-260.0,6.5,0.47107438016528924,0.36666666666666664,0.8295454545454546,41.666666666666664,23.333333333333332,4.666666666666667,5.333333333333333,14.666666666666666,23.666666666666668,104.0,0.3333333333333333,0.4092827004219409,0.2553191489361702,0.8089887640449438,44.0,20.0,7.666666666666667,6.666666666666667,12.333333333333334,19.0,92.66666666666667,0.6666666666666666,0,0
